iter	Passed	Remaining
370	2185	1885
371	2191	1879
372	2197	1873
373	2203	1867
374	2209	1861
375	2215	1856
376	2221	1850
377	2226	1844
378	2232	1838
379	2238	1832
380	2244	1826
381	2250	1820
382	2255	1814
383	2261	1808
384	2267	1802
385	2273	1796
386	2279	1790
387	2284	1784
388	2291	1778
389	2297	1773
390	2303	1767
391	2308	1761
392	2314	1755
393	2320	1749
394	2326	1743
395	2332	1737
396	2338	1731
397	2344	1725
398	2350	1720
399	2356	1714
400	2361	1708
401	2367	1702
402	2373	1696
403	2379	1690
404	2385	1684
405	2390	1678
406	2396	1672
407	2402	1666
408	2408	1660
409	2414	1654
410	2419	1648
411	2425	1642
412	2431	1636
413	2437	1631
414	2443	1625
415	2449	1619
416	2455	1613
417	2461	1607
418	2467	1601
419	2473	1595
420	2478	1589
421	2484	1583
422	2490	1577
423	2496	1571
424	2501	1565
425	2507	1559
426	2513	1554
427	2519	1548
428	2525	1542
429	2531	1536
430	2537	1530
431	2543	1524
432	2549	1518
433	2555	1513
434	2560	1507
435	2567	1501
436	2573	1495
437	2578	1489
438	2584	1483
439	2590	1477
440	2596	1471
441	2602	1466
442	2608	1460
443	2614	1454
444	2619	1448
445	2625	1442
446	2631	1436
447	2637	1430
448	2643	1424
449	2649	1418
450	2654	1412
451	2660	1406
452	2666	1401
453	2672	1395
454	2678	1389
455	2684	1383
456	2690	1377
457	2696	1371
458	2702	1365
459	2708	1360
460	2714	1354
461	2720	1348
462	2725	1342
463	2731	1336
464	2737	1330
465	2743	1324
466	2749	1318
467	2755	1312
468	2761	1306
469	2767	1301
470	2773	1295
471	2779	1289
472	2785	1283
473	2791	1278
474	2797	1272
475	2803	1266
476	2809	1260
477	2815	1254
478	2821	1248
479	2827	1243
480	2833	1237
481	2839	1231
482	2846	1225
483	2852	1219
484	2858	1213
485	2864	1208
486	2870	1202
487	2876	1196
488	2881	1190
489	2887	1184
490	2893	1178
491	2899	1172
492	2905	1167
493	2911	1161
494	2917	1155
495	2923	1149
496	2929	1143
497	2935	1137
498	2941	1131
499	2946	1125
500	2952	1119
501	2958	1113
502	2964	1107
503	2970	1102
504	2976	1096
505	2981	1090
506	2988	1084
507	2994	1078
508	3000	1072
509	3006	1066
510	3012	1061
511	3018	1055
512	3024	1049
513	3030	1043
514	3036	1037
515	3042	1031
516	3047	1025
517	3053	1019
518	3059	1013
519	3065	1008
520	3071	1002
521	3078	996
522	3084	990
523	3091	985
524	3097	979
525	3104	973
526	3110	967
527	3116	962
528	3122	956
529	3128	950
530	3133	944
531	3139	938
532	3146	932
533	3152	926
534	3157	920
535	3163	914
536	3169	909
537	3175	903
538	3181	897
539	3188	891
540	3194	885
541	3200	879
542	3206	874
543	3212	868
544	3218	862
545	3224	856
546	3230	850
547	3236	844
548	3242	838
549	3248	832
550	3254	826
551	3260	821
552	3266	815
553	3272	809
554	3278	803
555	3284	797
556	3290	791
557	3295	785
558	3301	779
559	3307	773
560	3313	767
561	3319	761
562	3325	755
563	3330	750
564	3336	744
565	3342	738
566	3348	732
567	3354	726
568	3360	720
569	3366	714
570	3372	708
571	3378	702
572	3384	697
573	3390	691
574	3396	685
575	3402	679
576	3408	673
577	3414	667
578	3420	661
579	3426	655
580	3431	649
581	3438	643
582	3443	637
583	3449	632
584	3455	626
585	3461	620
586	3467	614
587	3473	608
588	3479	602
589	3485	596
590	3491	590
591	3497	584
592	3503	579
593	3509	573
594	3515	567
595	3521	561
596	3527	555
597	3533	549
598	3539	543
599	3545	537
600	3551	531
601	3557	525
602	3563	520
603	3569	514
604	3575	508
605	3581	502
606	3586	496
607	3592	490
608	3598	484
609	3604	478
610	3610	472
611	3616	466
612	3622	460
613	3628	455
614	3634	449
615	3639	443
616	3645	437
617	3651	431
618	3657	425
619	3664	419
620	3670	413
621	3676	407
622	3682	401
623	3688	396
624	3694	390
625	3700	384
626	3706	378
627	3712	372
628	3717	366
629	3723	360
630	3729	354
631	3735	348
632	3741	342
633	3747	336
634	3753	331
635	3759	325
636	3765	319
637	3771	313
638	3777	307
639	3784	301
640	3790	295
641	3796	289
642	3802	283
643	3807	277
644	3813	271
645	3819	266
646	3825	260
647	3831	254
648	3837	248
649	3843	242
650	3848	236
651	3855	230
652	3860	224
653	3866	218
654	3872	212
655	3878	206
656	3884	201
657	3891	195
658	3897	189
659	3902	183
660	3908	177
661	3914	171
662	3919	165
663	3925	159
664	3931	153
665	3937	147
666	3943	141
667	3949	135
668	3955	130
669	3961	124
670	3967	118
671	3973	112
672	3979	106
673	3985	100
674	3992	94
675	3998	88
676	4004	82
677	4010	76
678	4016	70
679	4022	65
680	4028	59
681	4034	53
682	4040	47
683	4046	41
684	4051	35
685	4058	29
686	4065	23
687	4071	17
688	4077	11
689	4083	5
690	4090	0
