iter	Logloss
201	0.6076751092
202	0.6075266594
203	0.6072385147
204	0.6070291311
205	0.6068242754
206	0.6066289465
207	0.6062429329
208	0.6060558487
209	0.6057561318
210	0.6056575963
211	0.6054834336
212	0.6050403663
213	0.6048521081
214	0.6047434343
215	0.6045922526
216	0.6043559639
217	0.6040198855
218	0.6036895227
219	0.6035958252
220	0.6033485845
221	0.6031898841
222	0.6029086287
223	0.6026906707
224	0.6024790341
225	0.6022356726
226	0.6021404415
227	0.6019582069
228	0.601777774
229	0.6015677991
230	0.6014879054
231	0.6013474229
232	0.6011045649
233	0.6009562107
234	0.6007596587
235	0.6006328031
236	0.6004160494
237	0.6003007854
238	0.600211056
239	0.6000234269
240	0.5999793565
241	0.5998478648
242	0.5995665966
243	0.5994418139
244	0.5991936389
245	0.5989567283
246	0.5988248699
247	0.598706076
248	0.5985503264
249	0.5984121842
250	0.5983230326
251	0.5980507679
252	0.5979552513
253	0.5978585671
254	0.5977792137
255	0.5976603547
256	0.5974490775
257	0.5974179144
258	0.5971808213
259	0.5969725398
260	0.596764977
261	0.5966157455
262	0.5964013648
263	0.5961460385
264	0.5959260835
265	0.5957956335
266	0.5956402014
267	0.5954522754
268	0.5952789715
269	0.5951792044
270	0.5949015351
271	0.5946692166
272	0.5944816294
273	0.5941613294
274	0.5940148098
275	0.593896972
276	0.5936517755
277	0.5935212891
278	0.5932110937
279	0.5930290504
280	0.5928365943
281	0.5926581476
282	0.5923756373
283	0.5921439243
284	0.5919990029
285	0.5917414907
286	0.5915648621
287	0.5913470865
288	0.5911959563
289	0.5908708427
290	0.5906937512
291	0.5905984529
292	0.5904960018
293	0.5902220893
294	0.5901078878
295	0.5898305072
296	0.589664145
297	0.5894873054
298	0.5893546207
299	0.58920493
300	0.5890755695
301	0.5887695962
302	0.5885719266
303	0.588272216
304	0.5881296065
305	0.5880321328
306	0.5878693142
307	0.5876491392
308	0.5874645444
309	0.587270975
310	0.5872013836
311	0.5870495374
312	0.5868883061
313	0.5866008585
314	0.5864111451
315	0.5860444404
316	0.5858725545
317	0.5856201064
318	0.5853350156
319	0.5851470692
320	0.5849626247
321	0.5847065341
322	0.584443682
323	0.5842739353
324	0.5840589406
325	0.5836112478
326	0.5833800687
327	0.5832887972
328	0.5829998956
329	0.5826852209
330	0.58250324
331	0.5822776117
332	0.5821366792
333	0.5818036457
334	0.5815281426
335	0.5812453954
336	0.5809952147
337	0.5807897688
338	0.5806405625
339	0.5803891305
340	0.5801328324
341	0.57985808
342	0.5795601363
343	0.579471715
344	0.5792864879
345	0.5791153969
346	0.5790028611
347	0.5787375024
348	0.5786414741
349	0.5784661975
350	0.578367109
351	0.5782146121
352	0.5780115876
353	0.5777381454
354	0.5775176532
355	0.5773279507
356	0.5771297558
357	0.576923195
358	0.5767509074
359	0.5765412615
360	0.5763555416
361	0.5761647975
362	0.5760266538
363	0.5757920079
364	0.5756827207
365	0.5755873327
366	0.5754054609
367	0.5752379968
368	0.5749813794
369	0.5748293383
370	0.5745548606
371	0.5743659206
372	0.5742565716
373	0.574117259
374	0.5739155939
375	0.5736672595
376	0.5735026876
377	0.5732871555
378	0.5730328385
379	0.5728357412
380	0.5727221201
381	0.5726009895
382	0.5724524459
383	0.5722132772
384	0.5720298011
385	0.5718238323
386	0.5714777779
387	0.5714048456
388	0.5712144148
389	0.5710929713
390	0.5708429885
391	0.570589603
392	0.5703312341
393	0.5701751697
394	0.5699414842
395	0.5696662109
396	0.5692997275
397	0.5691897657
398	0.5690688084
399	0.568766305
400	0.5685503365
401	0.5683421428
402	0.5681690677
403	0.5677676847
404	0.5675166156
405	0.5672452822
406	0.5669655847
407	0.5668246326
408	0.5665947388
409	0.566413481
410	0.566145909
411	0.5659328367
412	0.5655901498
413	0.5653054943
414	0.5649693921
415	0.5646998364
416	0.564343879
417	0.564172172
418	0.5638055213
419	0.5634702929
420	0.5632480821
421	0.5630429232
422	0.5628006751
423	0.5625503931
424	0.5621849394
425	0.5618724147
426	0.5617285129
427	0.5614271004
428	0.5610904631
429	0.5608927003
430	0.5606106649
431	0.5603371582
432	0.5600506374
433	0.5596870619
434	0.5595615116
435	0.5592885364
436	0.5591971787
437	0.5589474947
438	0.5585103532
439	0.5583049055
440	0.557947726
441	0.5576466022
442	0.557502526
443	0.5571905818
444	0.5570891459
445	0.5568592064
446	0.5566147622
447	0.5563680887
448	0.5561551021
449	0.5559072428
450	0.5556160224
451	0.5553396925
452	0.5550604209
453	0.5548806903
454	0.5546088528
455	0.5542747076
456	0.554002725
457	0.5537546408
458	0.553493306
459	0.5532726978
460	0.552952573
461	0.552745689
462	0.5524695999
463	0.5521357558
464	0.5516690215
465	0.5512966345
466	0.5509812078
467	0.5506555656
468	0.5504236144
469	0.550280619
470	0.5499532262
471	0.5497910259
472	0.5496623919
473	0.549528963
474	0.5491635096
475	0.548955613
476	0.548820412
477	0.5485411378
478	0.5483487816
479	0.5479973203
480	0.5477845621
481	0.5475065589
482	0.5471295828
483	0.5468296929
484	0.5466105626
485	0.5462422206
486	0.546067593
487	0.5456541289
488	0.5453978088
489	0.545118259
490	0.5447686234
491	0.5445301432
492	0.5442707339
493	0.5438596698
494	0.5436873207
495	0.543318809
496	0.5431574182
497	0.542822507
498	0.5425927658
499	0.54239886
500	0.5421410054
501	0.5418312224
502	0.5415269843
503	0.5412189648
504	0.5409061117
505	0.5406481031
506	0.5403311639
507	0.5399680303
508	0.5397195224
509	0.5394544479
510	0.5392346146
511	0.5389835833
512	0.5385824974
513	0.5383076336
514	0.5380400289
515	0.5378138344
516	0.5375087261
517	0.5372771617
518	0.5369213562
519	0.5366030962
520	0.5362969383
521	0.5359277742
522	0.5356226352
523	0.5353786987
524	0.5350863028
525	0.534750886
526	0.5344891646
527	0.5340780195
528	0.5338357884
529	0.533592672
530	0.5331578913
531	0.5328910943
532	0.5326866173
533	0.5323494683
534	0.5321728165
535	0.5318788568
536	0.5315305348
537	0.5312895078
538	0.5309455205
539	0.5304990146
540	0.5302504173
541	0.5299116463
542	0.5296913642
543	0.5293983549
544	0.5290645553
545	0.5288604689
546	0.5285386108
547	0.528032418
548	0.527796029
549	0.527432438
550	0.5271068866
551	0.5267972518
552	0.5264622263
553	0.5261537534
554	0.5260264783
555	0.52570425
556	0.5253629296
557	0.5251067533
558	0.524753819
559	0.5244498273
560	0.5241509205
561	0.5238416034
562	0.5236688368
563	0.5234181982
564	0.5231593095
565	0.5227384939
566	0.5225617147
567	0.5223021705
568	0.5219855998
569	0.5216882404
570	0.5213714759
571	0.5210792296
572	0.5207221527
573	0.520453646
574	0.5201412092
575	0.5196855557
576	0.5194022337
577	0.5190419658
578	0.5188227259
579	0.5184912883
580	0.5180950831
581	0.5176962093
582	0.5173955381
583	0.5171454774
584	0.5167808382
585	0.5165479716
586	0.5161914595
587	0.5159783004
588	0.5157170949
589	0.5154053981
590	0.5151536837
591	0.5147756213
592	0.5145128636
593	0.5141194325
594	0.5138495233
595	0.5135149139
596	0.5132584164
597	0.5130201451
598	0.5126796276
599	0.5124427964
600	0.5121594375
601	0.5119434583
602	0.5116848598
603	0.5114381447
604	0.5109630508
605	0.510598385
606	0.5103687342
607	0.5100156
608	0.5096828299
609	0.5093493441
610	0.5091015074
611	0.5087496893
612	0.5085426142
613	0.508286702
614	0.5078293431
615	0.5074295311
616	0.5069245078
617	0.5066111405
618	0.5063502867
619	0.5061088222
620	0.5057496184
621	0.5054377418
622	0.5051896308
623	0.505029281
624	0.5047997063
625	0.5044747444
626	0.5040947395
627	0.5038481565
628	0.5034409309
629	0.5032345252
630	0.5029021133
631	0.5025967157
632	0.5023762375
633	0.5019885739
634	0.5018405581
635	0.5016039202
636	0.501206747
637	0.5010522352
638	0.500805639
639	0.5006012599
640	0.500230027
641	0.4999871726
642	0.4997322014
643	0.499397891
644	0.4991859021
645	0.4989239776
646	0.4987180414
647	0.4982622832
648	0.4978848663
649	0.4976264272
650	0.4973524353
651	0.4970785585
652	0.4965943394
653	0.4963642161
654	0.4961324894
655	0.4959848575
656	0.4956625662
657	0.4952865354
658	0.4949746127
659	0.4946903711
660	0.494316067
661	0.4939642469
662	0.4937377116
663	0.4933898519
664	0.493024745
665	0.4927746863
666	0.4925112056
667	0.492138469
668	0.4919070946
669	0.4916150169
670	0.4913176635
671	0.4912099672
672	0.4907139213
673	0.4904324726
674	0.4902511489
675	0.4900558963
676	0.4898215838
677	0.4895457379
678	0.489160453
679	0.4888200079
680	0.4884500525
681	0.4879910703
682	0.4876834307
683	0.487253021
684	0.4868593705
685	0.4865528883
686	0.4864114847
687	0.4862447968
688	0.4859931682
689	0.4857468331
690	0.48562069
