iter	Logloss
0	0.6912366067
1	0.6892174215
2	0.6876263626
3	0.6859978793
4	0.6843169489
5	0.6825578211
6	0.6810898463
7	0.6795222096
8	0.6782626618
9	0.6769605641
10	0.675561307
11	0.6742734712
12	0.6731284954
13	0.6718894109
14	0.6706461361
15	0.669430773
16	0.6682733235
17	0.66725109
18	0.6662283521
19	0.6653413347
20	0.6644216274
21	0.6637132537
22	0.6625763842
23	0.6618150974
24	0.6609289591
25	0.6601073884
26	0.6593907123
27	0.6586988798
28	0.6579683452
29	0.657139719
30	0.6563900915
31	0.6558017973
32	0.6551078378
33	0.6543958739
34	0.6539458233
35	0.6534015885
36	0.6528851895
37	0.6523070313
38	0.6517483232
39	0.6513501338
40	0.6508135444
41	0.6503037981
42	0.6497589478
43	0.6492463981
44	0.6487281562
45	0.6482657025
46	0.6477832724
47	0.6473659263
48	0.6469962947
49	0.6466986656
50	0.6461614148
51	0.6457455253
52	0.6453595234
53	0.6450252485
54	0.6446623845
55	0.6442341346
56	0.643850118
57	0.6436096641
58	0.6432339757
59	0.6428941443
60	0.6426309957
61	0.6422470005
62	0.6419365368
63	0.641538619
64	0.6411118133
65	0.6408384765
66	0.6404660206
67	0.6401821343
68	0.639821257
69	0.6395654147
70	0.6392465531
71	0.638873195
72	0.6385549864
73	0.6381995323
74	0.6380201837
75	0.6376264222
76	0.6370489231
77	0.636763528
78	0.6364939024
79	0.6361700242
80	0.6359121702
81	0.6355728755
82	0.6352610465
83	0.6350604047
84	0.6347854343
85	0.6344701804
86	0.634137173
87	0.633842432
88	0.6336181834
89	0.633450972
90	0.6331871426
91	0.6329238329
92	0.6326444761
93	0.6324817701
94	0.6322825348
95	0.6319711472
96	0.631690361
97	0.6313828829
98	0.6311091206
99	0.6308330988
100	0.6306813989
101	0.6304775077
102	0.630334106
103	0.6300817391
104	0.6296848071
105	0.6293509025
106	0.6290017394
107	0.6287803558
108	0.6285499994
109	0.6282620813
110	0.6281156406
111	0.6278261393
112	0.6276505251
113	0.6274220968
114	0.6270779116
115	0.626593499
116	0.6263378037
117	0.6261571566
118	0.625848598
119	0.6256845706
120	0.6255308324
121	0.6251327135
122	0.6249115192
123	0.6247285695
124	0.6245771381
125	0.6242628245
126	0.6240681666
127	0.6237337168
128	0.6235234963
129	0.6232637967
130	0.6230332434
131	0.6226734356
132	0.622450388
133	0.6221259846
134	0.6218415207
135	0.6216743865
136	0.6214394351
137	0.6211142852
138	0.6209798171
139	0.6207945177
140	0.6205917733
141	0.6202630661
142	0.6200014794
143	0.6198421596
144	0.6196146369
145	0.6194856109
146	0.6192932285
147	0.6190511086
148	0.6188276781
149	0.6186400865
150	0.6184231572
151	0.6181489915
152	0.6179607019
153	0.6179488551
154	0.6176887319
155	0.6175493136
156	0.617306898
157	0.6171184469
158	0.6168941741
159	0.6166770518
160	0.6164401422
161	0.6161479854
162	0.6159791343
163	0.615608464
164	0.6154738124
165	0.615352533
166	0.6150940536
167	0.6148561195
168	0.614571948
169	0.614385891
170	0.6140803709
171	0.6138704268
172	0.6135894141
173	0.6134198052
174	0.6132060991
175	0.6130929483
176	0.6128319332
177	0.6127247568
178	0.6123848112
179	0.6122704075
180	0.6121084893
181	0.6119057003
182	0.6116088098
183	0.611401472
184	0.6111950419
185	0.6110134441
186	0.6107220892
187	0.6105274099
188	0.6103958107
189	0.6102379066
190	0.610004528
191	0.6098680208
192	0.609609569
193	0.6093330484
194	0.6091574462
195	0.6090180445
196	0.6088960575
197	0.6086711441
198	0.6084902823
199	0.6083004316
200	0.607974182
